Geneid	GSM461180_treat_paired
FBgn0250732	75
FBti0060344	0
FBgn0286036	0
FBgn0037409	0
FBgn0027948	590
FBgn0038675	22
FBgn0264900	0
FBgn0000500	0
FBgn0261504	0
FBgn0037610	18
FBgn0053095	0
FBgn0038070	0
FBgn0267571	0
FBgn0261859	105
FBgn0262389	0
FBgn0037363	98
FBgn0039552	0
FBgn0267797	0
FBgn0039732	10
FBgn0038224	69
FBgn0264776	13
FBgn0038525	0
FBgn0262397	0
FBti0019351	0
FBti0019410	0
FBgn0262899	0
FBgn0261436	55
FBti0063117	0
FBgn0262378	0
FBgn0038814	0
FBgn0286871	0
FBgn0267809	0
FBgn0038279	0
FBgn0037625	0
FBgn0053093	0
FBti0062189	0
FBti0019436	0
FBgn0051579	0
FBgn0027574	21
FBgn0260746	87
FBgn0037930	134
FBgn0038709	0
FBgn0027095	132
FBtr0309605_df_nrg	0
FBgn0051450	10
FBgn0038774	0
FBgn0037794	18
FBgn0039229	115
FBgn0065064	1
FBti0019348	0
FBgn0038737	9
FBgn0262431	0
FBti0063768	0
FBgn0037399	0
FBti0019411	0
FBti0020393	0
FBgn0039291	4
FBgn0037547	0
FBgn0038966	14
FBgn0037690	0
FBti0019321	0
FBgn0038783	0
FBgn0011998	0
FBgn0038055	35
FBgn0261453	0
FBgn0261792	17
FBgn0040606	0
FBgn0037709	20
FBti0059826	0
FBgn0051106	0
FBti0019291	1
FBgn0039131	0
FBgn0267686	0
FBti0062552	0
FBti0061858	0
FBgn0037777	1
FBgn0046685	102
FBgn0259733	0
FBgn0266388	0
FBti0061730	0
FBgn0267561	0
FBgn0038993	0
FBgn0262971	0
FBgn0039313	0
FBgn0004395	51
FBgn0051201	0
FBgn0266674	44
FBgn0267767	0
FBgn0039019	19
FBti0062939	0
FBgn0039172	103
RR46358_transposable_element	0
FBgn0011290	32
FBgn0262384	0
FBgn0283626	0
FBgn0267816	0
FBgn0037747	28
FBgn0037751	11
FBgn0039486	0
FBgn0039228	0
FBgn0039073	13
FBgn0040256	6
FBgn0037888	0
FBgn0039404	14
FBgn0264905	0
FBgn0038342	0
FBgn0005674	278
FBgn0266229	0
FBgn0011768	137
FBgn0265449	0
FBgn0037917	34
FBgn0086365	178
FBgn0017567	55
FBgn0039290	19
FBgn0267208	0
FBti0019361	0
FBgn0051287	0
FBgn0038577	27
FBgn0037720	75
FBgn0038033	0
FBgn0001112	0
FBgn0038344	163
FBgn0037678	5
FBgn0267709	0
RR48352_transposable_element	0
FBgn0051072	41
FBgn0013277	0
FBgn0037718	149
FBgn0039520	0
FBti0062070	0
FBgn0286071	48
FBgn0266701	0
FBgn0265197	0
FBgn0003002	0
FBgn0012000	0
FBgn0264428	0
FBgn0266399	8
FBgn0041588	67
FBgn0039557	31
FBti0020309	0
FBgn0051028	0
FBgn0266598	1
FBgn0037424	0
FBgn0038725	3
FBgn0263757	0
FBgn0039277	1
FBgn0039302	415
FBgn0039461	11
FBgn0037894	126
FBgn0039799	0
FBgn0262290	0
FBgn0039817	0
FBgn0051224	176
FBgn0054008	5
FBgn0013276	0
FBgn0039714	117
FBgn0037832	0
FBgn0263409	0
FBgn0037802	7
FBgn0004781	0
FBgn0037502	0
FBgn0051230	0
FBgn0039328	7
FBgn0038204	0
FBgn0285912	1
FBgn0051116	10
FBgn0263835	0
FBgn0266672	83
FBgn0037292	0
FBgn0002735	0
FBgn0017550	85
FBti0062066	0
FBti0059750	0
FBgn0037679	11
FBgn0037837	0
FBgn0040609	18
FBgn0284417	0
FBgn0038113	0
FBgn0014931	17
FBgn0267408	241
FBgn0038115	1
FBgn0038745	96
FBgn0038321	12
FBgn0266538	0
FBgn0263594	734
FBgn0083984	0
FBgn0051162	0
FBgn0039378	0
FBgn0015568	25
FBgn0267107	0
FBgn0267759	1
FBgn0038881	75
FBgn0259139	151
FBgn0267159	0
FBgn0038423	0
FBgn0262112	1
FBgn0266732	0
FBti0062737	0
FBgn0039258	14
FBgn0039415	4
FBgn0039325	0
FBgn0264427	0
FBgn0004841	0
FBgn0275433	0
FBtr0304200_df_nrg	0
FBti0019345	0
FBgn0267674	0
FBgn0002924	384
FBgn0039008	1
FBgn0259721	0
FBgn0051211	88
FBgn0283548	0
FBgn0038717	1
FBtr0445469_df_nrg	0
FBgn0267612	0
FBti0062734	0
FBgn0263389	0
FBgn0051575	0
FBgn0263664	0
FBgn0037993	0
FBgn0262962	2
FBgn0038049	50
FBgn0005777	101
FBgn0261238	84
FBgn0042101	0
FBti0063301	0
FBgn0037891	121
FBgn0039182	63
FBgn0262808	0
FBgn0085345	0
FBgn0085383	0
FBgn0267808	0
FBgn0051480	0
FBgn0040080	152
FBgn0037383	13
FBgn0037779	25
FBgn0000533	0
FBgn0264563	0
FBgn0263025	9
FBgn0264291	14
FBti0019286	0
FBgn0010340	7
FBgn0262327	0
FBgn0039722	0
FBgn0038490	3
FBgn0265276	18
FBgn0014930	21
FBgn0267315	0
FBgn0038809	125
FBti0020305	0
FBgn0038678	6
FBgn0262434	0
FBgn0261996	1
FBti0059756	0
FBgn0037478	16
FBgn0267708	0
FBgn0038428	25
FBgn0015270	21
FBgn0038853	147
FBgn0267119	0
FBgn0038306	30
FBgn0046876	0
FBtr0309665_df_nrg	0
FBgn0051320	20
FBgn0053333	0
FBgn0051268	0
FBgn0051184	31
FBgn0038219	0
FBgn0051225	0
FBti0062533	0
FBgn0038756	0
FBgn0037276	0
FBgn0039870	21
FBgn0003165	361
FBgn0039463	0
FBgn0039719	0
FBgn0038760	46
FBgn0002781	221
FBgn0039311	0
FBgn0038034	30
FBgn0053970	0
FBgn0038332	25
FBgn0024957	106
FBgn0038017	0
FBgn0011999	0
FBgn0267671	0
FBgn0023212	84
FBgn0086057	0
FBgn0263400	0
FBti0061713	0
FBgn0027492	355
FBtr0445445_df_nrg	0
FBgn0011289	111
FBgn0263986	0
FBti0019404	0
FBgn0015269	71
FBgn0038485	0
FBgn0265062	0
FBti0063270	0
FBgn0010399	0
FBgn0039369	0
FBgn0266750	0
FBtr0472817_df_nrg	0
FBgn0039054	0
FBti0062133	0
FBgn0286828	19
FBgn0028734	266
FBgn0039789	16
FBgn0037988	0
FBgn0037849	0
FBgn0011766	336
FBgn0262143	0
FBti0062606	0
FBgn0267430	0
FBti0020308	0
FBtr0304424_df_nrg	0
FBgn0051510	13
FBti0019447	2
FBgn0037996	0
FBgn0038535	369
FBgn0260444	42
FBgn0038437	3
FBti0063898	0
FBgn0038369	51
FBgn0038645	0
FBti0019461	0
FBgn0262904	0
FBgn0037570	0
FBgn0263047	2
FBgn0011785	196
FBgn0039092	0
FBgn0037705	22
FBgn0267806	0
FBgn0038454	17
FBti0061004	0
FBgn0038643	0
FBgn0038238	0
FBgn0038838	0
FBgn0260743	15
FBgn0039879	0
FBgn0039246	0
FBgn0267116	0
FBti0061924	0
FBgn0039820	0
FBgn0067629	2
FBgn0017590	0
FBgn0039726	23
FBgn0260634	167
FBgn0037231	1
FBgn0037829	0
FBti0063714	0
FBti0059855	0
FBgn0267685	0
FBti0061580	0
FBgn0284081	0
FBgn0037412	0
FBgn0037817	2
FBgn0051253	0
FBgn0262858	0
FBgn0267383	0
FBgn0039598	0
FBgn0287598	0
FBgn0004876	80
FBgn0012025	0
FBgn0039685	0
FBgn0039387	0
FBgn0004117	0
FBti0061722	1
FBgn0037811	0
FBgn0041102	0
FBgn0262514	0
FBgn0267216	0
FBgn0038354	0
FBti0019311	0
FBgn0037834	126
FBti0063256	0
FBgn0003248	0
FBtr0304336_df_nrg	0
FBgn0000723	128
FBgn0051030	0
FBtr0309733_df_nrg	0
FBgn0038199	0
FBgn0037313	77
FBtr0304494_df_nrg	0
FBgn0037890	42
FBgn0039350	8
FBgn0037546	0
FBgn0015781	13
FBgn0053294	1
FBgn0267707	0
FBgn0051424	0
FBgn0002522	0
FBgn0037737	12
FBgn0037498	0
FBgn0051551	2
FBgn0051514	2
FBti0019380	0
FBgn0039215	88
FBgn0039597	0
FBgn0264901	0
FBgn0037943	45
FBgn0038478	37
FBgn0051382	0
FBgn0028684	74
FBti0061679	0
FBgn0051195	77
FBgn0267440	0
FBgn0028487	30
FBgn0002719	560
FBti0063748	0
FBgn0000279	6
FBgn0027841	24
FBgn0261479	32
FBgn0039696	62
FBgn0039827	2
FBgn0038331	32
FBgn0085313	0
FBti0019358	0
FBgn0051202	1
FBgn0267118	0
FBti0061725	0
FBgn0039261	51
FBgn0037630	6
FBgn0266744	1
FBgn0267774	0
FBgn0267337	1
FBgn0051143	0
FBgn0037746	48
FBgn0038854	55
FBgn0267200	0
FBgn0037656	5
FBti0063367	0
FBti0061080	0
FBgn0039510	1
FBgn0037700	41
FBti0020376	0
FBgn0038839	0
FBtr0304522_df_nrg	0
FBti0062102	0
FBgn0039670	0
FBgn0039872	0
FBgn0263023	0
FBgn0086052	0
FBgn0039599	0
FBgn0037466	26
FBti0019320	1
FBgn0039101	14
FBgn0011655	101
FBgn0039274	7
FBgn0039731	6
FBtr0304415_df_nrg	0
FBti0019466	2
FBgn0039250	45
FBgn0015513	252
FBgn0017581	1479
FBgn0020249	76
FBgn0267651	0
FBgn0051139	0
FBgn0040600	55
FBgn0024329	225
FBgn0004842	0
FBgn0039465	34
FBgn0013343	173
FBgn0261679	0
FBgn0002940	0
FBgn0027873	52
FBgn0038197	35
FBgn0039346	0
FBgn0082958	0
FBgn0039147	0
FBgn0263449	0
FBgn0266372	0
FBgn0038952	8
FBgn0000139	38
FBtr0309656_df_nrg	0
FBgn0020238	1073
FBgn0038476	120
FBgn0039341	0
FBgn0037850	29
FBti0062076	0
FBgn0039873	0
FBgn0037908	0
FBgn0263383	0
FBgn0037270	373
FBgn0038540	0
FBgn0267692	0
FBgn0038965	23
FBgn0039609	0
FBgn0039424	0
FBgn0003268	155
FBgn0260935	29
FBgn0026566	50
FBgn0266700	0
FBgn0262404	0
FBgn0037540	8
FBgn0039703	0
FBgn0039080	0
