Geneid	GSM461177_untreat_paired
FBgn0250732	74
FBti0060344	0
FBgn0286036	0
FBgn0037409	0
FBgn0027948	467
FBgn0038675	14
FBgn0264900	0
FBgn0000500	0
FBgn0261504	0
FBgn0037610	15
FBgn0053095	0
FBgn0038070	1
FBgn0267571	0
FBgn0261859	92
FBgn0262389	0
FBgn0037363	118
FBgn0039552	0
FBgn0267797	0
FBgn0039732	15
FBgn0038224	75
FBgn0264776	11
FBgn0038525	0
FBgn0262397	0
FBti0019351	0
FBti0019410	0
FBgn0262899	0
FBgn0261436	64
FBti0063117	0
FBgn0262378	0
FBgn0038814	0
FBgn0286871	0
FBgn0267809	0
FBgn0038279	0
FBgn0037625	0
FBgn0053093	0
FBti0062189	0
FBti0019436	0
FBgn0051579	0
FBgn0027574	24
FBgn0260746	64
FBgn0037930	132
FBgn0038709	0
FBgn0027095	94
FBtr0309605_df_nrg	0
FBgn0051450	12
FBgn0038774	0
FBgn0037794	11
FBgn0039229	134
FBgn0065064	0
FBti0019348	0
FBgn0038737	17
FBgn0262431	0
FBti0063768	0
FBgn0037399	0
FBti0019411	0
FBti0020393	0
FBgn0039291	5
FBgn0037547	0
FBgn0038966	18
FBgn0037690	0
FBti0019321	1
FBgn0038783	0
FBgn0011998	0
FBgn0038055	24
FBgn0261453	0
FBgn0261792	19
FBgn0040606	0
FBgn0037709	23
FBti0059826	0
FBgn0051106	0
FBti0019291	2
FBgn0039131	0
FBgn0267686	0
FBti0062552	0
FBti0061858	0
FBgn0037777	7
FBgn0046685	74
FBgn0259733	0
FBgn0266388	0
FBti0061730	0
FBgn0267561	0
FBgn0038993	1
FBgn0262971	0
FBgn0039313	0
FBgn0004395	49
FBgn0051201	0
FBgn0266674	31
FBgn0267767	0
FBgn0039019	15
FBti0062939	0
FBgn0039172	76
RR46358_transposable_element	2
FBgn0011290	27
FBgn0262384	0
FBgn0283626	0
FBgn0267816	0
FBgn0037747	19
FBgn0037751	7
FBgn0039486	0
FBgn0039228	1
FBgn0039073	10
FBgn0040256	8
FBgn0037888	0
FBgn0039404	11
FBgn0264905	0
FBgn0038342	1
FBgn0005674	286
FBgn0266229	0
FBgn0011768	109
FBgn0265449	0
FBgn0037917	27
FBgn0086365	278
FBgn0017567	59
FBgn0039290	21
FBgn0267208	0
FBti0019361	0
FBgn0051287	1
FBgn0038577	14
FBgn0037720	103
FBgn0038033	0
FBgn0001112	0
FBgn0038344	152
FBgn0037678	3
FBgn0267709	0
RR48352_transposable_element	2
FBgn0051072	38
FBgn0013277	0
FBgn0037718	161
FBgn0039520	0
FBti0062070	0
FBgn0286071	20
FBgn0266701	0
FBgn0265197	0
FBgn0003002	0
FBgn0012000	0
FBgn0264428	0
FBgn0266399	6
FBgn0041588	58
FBgn0039557	24
FBti0020309	0
FBgn0051028	0
FBgn0266598	1
FBgn0037424	0
FBgn0038725	3
FBgn0263757	0
FBgn0039277	0
FBgn0039302	407
FBgn0039461	25
FBgn0037894	101
FBgn0039799	0
FBgn0262290	0
FBgn0039817	0
FBgn0051224	151
FBgn0054008	2
FBgn0013276	0
FBgn0039714	158
FBgn0037832	0
FBgn0263409	0
FBgn0037802	2
FBgn0004781	0
FBgn0037502	0
FBgn0051230	0
FBgn0039328	12
FBgn0038204	0
FBgn0285912	3
FBgn0051116	7
