GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0026562	43868.5455480573	-2.38255375305387	0.0835225231236656	-28.5258833659299	5.59510643378107e-179	4.840326575864e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0039155	735.939136596636	-4.07674246609375	0.144657905719704	-28.1819541476914	9.73174406905407e-175	2.80631059804623e-171	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	4392.7577141093	-2.99542318410968	0.10623999905365	-28.1948720895323	6.75849154138348e-175	2.80631059804623e-171	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0025111	1508.08707143002	2.68038350347055	0.099224531263143	27.013314846126	1.03100950566836e-160	2.22981580838425e-157	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	3663.82173154691	-2.11124928853594	0.0911704728056607	-23.1571606855246	1.23126720928629e-118	2.13033852550714e-115	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	265.07817718924	-3.37069793824437	0.169769330543986	-19.8545751900167	1.00609692559387e-87	1.45062408388543e-84	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	644.366837429722	-2.41861841923728	0.121932427322593	-19.8357276431348	1.46382929057695e-87	1.80908388468303e-84	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0264475	650.947679886028	-2.31429990153943	0.131223751010208	-17.6362882764981	1.29705948890852e-69	1.40260770481845e-66	chr3L	820758	821512	+	ncRNA	lncRNA:CR43883
FBgn0034736	222.308995848072	-2.9275721564722	0.171225309801305	-17.0977769575622	1.54173872364492e-65	1.48195352202803e-62	chr2R	22550093	22552113	+	protein_coding	gas
FBgn0000071	322.085805028094	2.33699940165458	0.14413880073504	16.2135343830876	4.04614942178939e-59	3.50032386479001e-56	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	477.291034028138	-2.17486621457191	0.137603340897221	-15.8053300188137	2.85889261454767e-56	2.24838909167745e-53	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	290.155365602645	-2.28372207627057	0.166853803523461	-13.6869644445921	1.21479114173177e-42	8.75763180593464e-40	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0027279	2946.64213921217	-1.16269191876263	0.0860494833769353	-13.5118988881028	1.33044932701873e-41	8.85362856003e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0035189	207.86310008807	2.3599053706463	0.182328597397398	12.943144434456	2.56895525121764e-38	1.58743084844884e-35	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0001226	1188.39103759586	1.55764685859113	0.123521824612541	12.6102967105376	1.85294107247772e-36	1.06865288120032e-33	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0040091	1090.94411316351	-1.46340061439228	0.116293333834005	-12.5837016288579	2.59575594954208e-36	1.40349279496803e-33	chr2R	22641785	22643917	-	protein_coding	Ugt317A1
FBgn0040099	858.740248668437	-1.63623036758216	0.130118861154656	-12.5748900125815	2.90203905283467e-36	1.47679646153369e-33	chr2L	7857076	7860120	+	protein_coding	lectin-28C
